Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1100
0d639b84-0f37-4ae1-a19f-a9a739ec17b6,,,Tooth 11,Tooth 11,#11,#11,,,Misc,N/A,,,,,,,,,,,
8dbeb51d-d4d8-4710-ae9b-69327d253d46,,,Tooth 12,Tooth 12,#12,#12,,,Misc,N/A,,,,,,,,,,,
4ca4b757-5cbd-42fa-b12b-33086e4110db,,,Tooth 13,Tooth 13,#13,#13,,,Misc,N/A,,,,,,,,,,,
e125fac3-6dfd-4ff1-864b-981e344d9e85,,,Tooth 14,Tooth 14,#14,#14,,,Misc,N/A,,,,,,,,,,,
dc3b13c7-931e-40a3-a37a-c74258117f1d,,,Tooth 15,Tooth 15,#15,#15,,,Misc,N/A,,,,,,,,,,,
fccc8b61-8220-49a2-ae69-956df609f9bf,,,Tooth 16,Tooth 16,#16,#16,,,Misc,N/A,,,,,,,,,,,
efc45527-bf8c-4f0e-bd91-22fd59e78529,,,Tooth 17,Tooth 17,#17,#17,,,Misc,N/A,,,,,,,,,,,
54c08036-4357-4d64-a65e-24955790ce3b,,,Tooth 18,Tooth 18,#18,#18,,,Misc,N/A,,,,,,,,,,,
e6c15e81-16ac-4dc0-bc03-24ebbf4e3001,,,Tooth 21,Tooth 21,#21,#21,,,Misc,N/A,,,,,,,,,,,
122dad36-acea-495c-970c-6cc4976569ae,,,Tooth 22,Tooth 22,#22,#22,,,Misc,N/A,,,,,,,,,,,
cc7cfc34-c872-46c4-8818-7bf53641e96f,,,Tooth 23,Tooth 23,#23,#23,,,Misc,N/A,,,,,,,,,,,
86b94c2e-7deb-4da2-8690-8d2eab2ee144,,,Tooth 24,Tooth 24,#24,#24,,,Misc,N/A,,,,,,,,,,,
e0871695-07ff-4fb8-87c8-c74cf579ede9,,,Tooth 25,Tooth 25,#25,#25,,,Misc,N/A,,,,,,,,,,,
3d3dcb01-8e35-4314-baf8-246851721b83,,,Tooth 26,Tooth 26,#26,#26,,,Misc,N/A,,,,,,,,,,,
87f35791-c180-4101-8747-76a9ac8732e2,,,Tooth 27,Tooth 27,#27,#27,,,Misc,N/A,,,,,,,,,,,
724b5c92-3498-45fd-baae-dd7658d8b2d2,,,Tooth 28,Tooth 28,#28,#28,,,Misc,N/A,,,,,,,,,,,
01b85e8d-c88d-4865-a539-d9dc7cc7993a,,,Tooth 31,Tooth 31,#31,#31,,,Misc,N/A,,,,,,,,,,,
e278aac2-5482-4de4-b919-f0657d59c922,,,Tooth 32,Tooth 32,#32,#32,,,Misc,N/A,,,,,,,,,,,
0ef56ddb-cb89-456a-a860-79175103989e,,,Tooth 33,Tooth 33,#33,#33,,,Misc,N/A,,,,,,,,,,,
92248bc3-6bdc-4293-9d3e-b6a8b5504f94,,,Tooth 34,Tooth 34,#34,#34,,,Misc,N/A,,,,,,,,,,,
aef837d2-d100-43f1-b66b-3c32180ab804,,,Tooth 35,Tooth 35,#35,#35,,,Misc,N/A,,,,,,,,,,,
01640ed8-1c9d-4625-bfe6-08b0d6767cc8,,,Tooth 36,Tooth 36,#36,#36,,,Misc,N/A,,,,,,,,,,,
541379af-41af-4a0f-a3d0-7b67f4db53b4,,,Tooth 37,Tooth 37,#37,#37,,,Misc,N/A,,,,,,,,,,,
673d43ee-0211-408f-8169-757e69047f22,,,Tooth 38,Tooth 38,#38,#38,,,Misc,N/A,,,,,,,,,,,
bff09559-a0ba-42cb-adcb-b7a2bbf23b6c,,,Tooth 41,Tooth 41,#41,#41,,,Misc,N/A,,,,,,,,,,,
835013ec-fe3b-4edc-aca7-54a6505e2de3,,,Tooth 42,Tooth 42,#42,#42,,,Misc,N/A,,,,,,,,,,,
db107c9b-9cf0-46ef-a5a0-71a1aab8e066,,,Tooth 43,Tooth 43,#43,#43,,,Misc,N/A,,,,,,,,,,,
7959fd55-399a-4287-b02d-b62bcded33c5,,,Tooth 44,Tooth 44,#44,#44,,,Misc,N/A,,,,,,,,,,,
cd6b95e9-2182-407f-85e2-f37f4f1949d6,,,Tooth 45,Tooth 45,#45,#45,,,Misc,N/A,,,,,,,,,,,
2be9ca3f-fba7-4d3a-a419-9a03ba521a8d,,,Tooth 46,Tooth 46,#46,#46,,,Misc,N/A,,,,,,,,,,,
0b0fe423-593b-41c7-962c-6f4832598230,,,Tooth 47,Tooth 47,#47,#47,,,Misc,N/A,,,,,,,,,,,
583e8e6d-37a6-477f-bf1a-dc71f40caf41,,,Tooth 48,Tooth 48,#48,#48,,,Misc,N/A,,,,,,,,,,,
d746cd68-001a-4f02-99ac-b1ab633ff3b3,,,Tooth 51,Tooth 51,#51,#51,,,Misc,N/A,,,,,,,,,,,
6c64ec3a-b4f6-4525-b2de-f0b10a7747b4,,,Tooth 52,Tooth 52,#52,#52,,,Misc,N/A,,,,,,,,,,,
718499e5-5e79-40ce-b808-49ea1476e428,,,Tooth 53,Tooth 53,#53,#53,,,Misc,N/A,,,,,,,,,,,
1c5e4afa-088f-4f47-b113-006355d5ac05,,,Tooth 54,Tooth 54,#54,#54,,,Misc,N/A,,,,,,,,,,,
d9c39c39-8e76-4676-890b-da5e944528a6,,,Tooth 55,Tooth 55,#55,#55,,,Misc,N/A,,,,,,,,,,,
ed31b7f4-8776-4939-9763-ba4dc5275bfa,,,Tooth 61,Tooth 61,#61,#61,,,Misc,N/A,,,,,,,,,,,
380c1b49-4aaa-49ac-851b-8f91364645e7,,,Tooth 62,Tooth 62,#62,#62,,,Misc,N/A,,,,,,,,,,,
c0df9f1c-4520-4661-b9e1-ef818ede99a6,,,Tooth 63,Tooth 63,#63,#63,,,Misc,N/A,,,,,,,,,,,
1d023547-649a-46e2-b98b-e5b0f6ea1363,,,Tooth 64,Tooth 64,#64,#64,,,Misc,N/A,,,,,,,,,,,
5c0cf1e7-3954-4f34-a9c8-fcaa7a9751dd,,,Tooth 65,Tooth 65,#65,#65,,,Misc,N/A,,,,,,,,,,,
dcc76d0f-4cbd-41ce-8232-642ffe1550a6,,,Tooth 71,Tooth 71,#71,#71,,,Misc,N/A,,,,,,,,,,,
5cd8944c-340e-4e95-a69a-47b6c13349ac,,,Tooth 72,Tooth 72,#72,#72,,,Misc,N/A,,,,,,,,,,,
acf3dbe0-2686-4aa2-b36b-9322a7545d05,,,Tooth 73,Tooth 73,#73,#73,,,Misc,N/A,,,,,,,,,,,
6c561b5f-8ed3-49b7-949b-3deca75d4cc7,,,Tooth 74,Tooth 74,#74,#74,,,Misc,N/A,,,,,,,,,,,
