Uuid,Same as mappings,Void/Retire,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:km,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1350
1961e812-31c7-41df-8688-131478ed1c9d,,,Other Medical History,Other Medical History,other illness/injury,,,,Misc,N/A,,,,,,,,,,,
f3ce9ec2-ca8d-4034-83b1-2f46f6b70c2e,,,Heart Disease,Heart Disease,heart disease,,,,Misc,N/A,,,,,,,,,,,
5996dc92-50f2-48a8-9cca-b144bbc83009,,,Hypertension,Hypertension,hypertension,,,,Misc,N/A,,,,,,,,,,,
3ab3917e-6283-421d-82bd-ee90b2571e1b,,,COPD,COPD,COPD,,,,Misc,N/A,,,,,,,,,,,
90ee7bcf-b132-4bbd-89c5-917dfcb3dc0e,,,Asthma,Asthma,asthma,,,,Misc,N/A,,,,,,,,,,,
16f756cd-889f-4b7b-9750-35406092b721,,,Diabetes,Diabetes,diabetes,,,,Misc,N/A,,,,,,,,,,,
89562ed7-8330-4f92-a2b3-11790ecb4baf,,,UTI,UTI,UTI,,,,Misc,N/A,,,,,,,,,,,
7bafb5c2-b535-4fad-87c9-e460cd9bae76,,,Kidney Stones,Kidney Stones,kidney stones,,,,Misc,N/A,,,,,,,,,,,
cfc83fd5-9328-4ec3-b6a6-31981048d8fb,,,Ulcer,Ulcer,ulcer,,,,Misc,N/A,,,,,,,,,,,
77c881e5-1280-4ba5-9d6c-8b0141204367,,,GERD,GERD,GERD,,,,Misc,N/A,,,,,,,,,,,
6a29ee79-8db8-4284-b6f4-d21eb909b67e,,,Depression,Depression,depression,,,,Misc,N/A,,,,,,,,,,,
c7b0f9ef-e8c6-4a50-95d0-4c269b535b33,,,Cancer,Cancer,cancer,,,,Misc,N/A,,,,,,,,,,,
1b3cb713-e903-426b-808f-8fe79e768082,,,Past Cancer Details,Past Cancer Details,"Cancer: describe date, location and type",,,,Question,Text,,,,,,,,,,,
444fe8d9-e38b-4a48-aa45-1a30dadcae60,,,Past Medical History Details,Past Medical History Details,Past Medical History Details,,,,Question,Text,,,,,,,,,,,
87f5ea23-3762-4b31-a58a-53a282eed232,,,Past Surgical History,Past Surgical History,Past Surgical History,,,,Question,Text,,,,,,,,,,,
1f98c200-58f9-4f83-b38f-cdeff8f574bd,,,Family History,Family History,Family History,,,,Question,Text,,,,,,,,,,,
627ee4e6-524b-4b67-9a34-206a4743b721,,,Social History,Social History,Social History,,,,Question,Text,,,,,,,,,,,
b2290de0-4e34-492d-aae9-d438556a2a4e,,,List Medications,List Medications,List Medications,,,,Question,Text,,,,,,,,,,,
171c4ff9-751c-4bc5-9633-847e3f979fee,,,Past Medical History,Past Medical History,Past Medical History,,,,Question,Coded,,Headache; Seizure; Heart Disease; Hypertension; COPD; Asthma; Diabetes; UTI; Kidney Stones; Ulcer; GERD; Depression; Cancer; Other Medical History,,,,,,,,,
41ece3b9-1e9b-488a-8702-8a57f51f6d27,,,PCV Set,PCV Set,PCV,,,,ConvSet,N/A,,,"PCV1 Set; PCV2 Set; PCV3 Set; ",,,,,,,,
674a6a9a-2903-46a5-8fc8-faa07ebddec3,,,DTP-Hep-Hip Set,DTP-Hep-Hip Set,DTP-Hep-Hip,,,,ConvSet,N/A,,,"DTP-Hep-Hip1 Set; DTP-Hep-Hip2 Set; DTP-Hep-Hip3 Set; ",,,,,,,,
4ca557db-9bd0-45d7-bda8-45a6ba5fa6d7,,,Polio Set,Polio Set,Polio,,,,ConvSet,N/A,,,Polio1 Set; Polio2 Set; Polio3 Set;,,,,,,,,
ec754fca-58b5-49ff-9b6f-c4a1ba3115c9,,,HepB at birth Set,HepB at birth Set,HepB at birth,,,,ConvSet,N/A,,,"HepB at birth; HepB at birth, time administrered after birth; ",,,,,,,,
020858d9-0e83-43cf-b397-9942ea3887b5,,,Child Immunizations Set OLD,Child Immunizations Set OLD,Child Immunizations,,,,ConvSet,N/A,,,"Polio1; Polio1, Date Given; Polio2; Polio2, Date Given; Polio3; Polio3, Date Given; DTP-Hep-Hip1; DTP-Hep-Hip1, Date Given; DTP-Hep-Hip2; DTP-Hep-Hip2, Date Given; DTP-Hep-Hip3; DTP-Hep-Hip3, Date Given; PCV1; PCV1, Date Given; PCV2; PCV2, Date Given; PCV3; PCV3, Date Given; MR***; MR***, Date Given; JE; JE, Date Given",,,,,,,,
6b315579-5472-4def-8326-f2f56ab7380e,,,Newborn Immunizations Set OLD,Newborn Immunizations Set OLD,Newborn Immunizations,,,,ConvSet,N/A,,,"BCG; BCG, Date Given; HepB at birth; HepB at birth, time administrered after birth; Polio1; Polio1, Date Given; Polio2; Polio2, Date Given; Polio3; Polio3, Date Given; DTP-Hep-Hip1; DTP-Hep-Hip1, Date Given; DTP-Hep-Hip2; DTP-Hep-Hip2, Date Given; DTP-Hep-Hip3; DTP-Hep-Hip3, Date Given; PCV1; PCV1, Date Given; PCV2; PCV2, Date Given; PCV3; PCV3, Date Given; MR1; MR1, Date Given; JE; JE, Date Given",,,,,,,,
6ec962d2-77f9-45ea-9f25-e3997a3de5e1,,,Child Immunizations Set,Child Immunizations Set,Child Immunizations,,,,ConvSet,N/A,,,"Polio Set; DTP-Hep-Hip Set; PCV Set; MR*** Set; JE Set; ",,,,,,,,
8de287a0-2d7f-45d6-bbcd-6727b47b8e35,,,Newborn Immunizations Set,Newborn Immunizations Set,Newborn Immunizations,,,,ConvSet,N/A,,,"BCG Set; HepB at birth Set; Polio Set; DTP-Hep-Hip Set; PCV Set; MR1 Set; JE Set; ",,,,,,,,
6edf0773-e724-4d15-99c9-de5976af93ce,,,History Form,History Form,History,,,,ConvSet,N/A,,,Past Medical History; Past Cancer Details; Past Medical History Details; Past Surgical History; 6775b200-6c3e-41cc-bf6e-6bd7cbdbc2a2; List medications; Social History; Newborn Immunizations Set; Child Immunizations Set; Pregnant Women Immunizations Set;,,,,,,,,
