Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1100
050ecb0e-fcc7-4778-94ee-3258ddecbc60,,,Single,Single,Single,Célibataire,,,Misc,N/A,,,,,,,,,,,
7dd0e065-818b-43c7-8344-9064accf97f5,,,Married,Married,Married,Marrié,,,Misc,N/A,,,,,,,,,,,
c064ecf5-a6ea-48ce-807d-a8e554c13f8d,,,Living_with_Partner,Living_with_Partner,Living with Partner,En ménage,,,Misc,N/A,,,,,,,,,,,
176a6391-e203-4d7e-b0e1-9baf63602a91,,,Separated,Separated,Separated,Séparé,,,Misc,N/A,,,,,,,,,,,
7f980dba-41c2-42a5-9ddc-ccffdc881a38,,,Divorced,Divorced,Divorced,Divorcé,,,Misc,N/A,,,,,,,,,,,
73515be9-3f0e-4844-b28b-12967968e477,,,Widowed,Widowed,Widowed,Veuf(ve),,,Misc,N/A,,,,,,,,,,,
4e7a07f2-345f-419c-8d30-b060d9b8681a,,,Social_Status,Social_Status,Social Status,Situation maritale,,,Misc,Coded,,Single; Married; Living_with_Partner; Separated; Divorced; Widowed,,,,,,,,,
7c47a358-1d99-4047-9343-ca5f1948a848,,,Agriculteur,Agriculteur,Agriculteur,Agriculteur,,,Misc,N/A,,,,,,,,,,,
1b77e5b5-cf87-4741-a3b0-fec376ae3880,,,Artisan,Artisan,Artisan,Artisan,,,Misc,N/A,,,,,,,,,,,
a18c1084-529d-4613-b8a4-77e8a27fac2c,,,Commerçant,Commerçant,Commerçant et assimilé,Commerçant et assimilé,,,Misc,N/A,,,,,,,,,,,
6b6e016f-b37c-42c5-9e7d-1aaa5801241c,,,Ouvrier,Ouvrier,Ouvrier qualifié et non qualifié,Ouvrier qualifié et non qualifié,,,Misc,N/A,,,,,,,,,,,
eebc8523-9dc5-4d6b-9d7e-d3ebf7dc563e,,,Chauffeur,Chauffeur,Chauffeur,Chauffeur,,,Misc,N/A,,,,,,,,,,,
a955c0e8-5c28-42a5-8497-19dddc665a85,,,Policier,Policier,"Policier, Militaire ou Autres forces Arméées","Policier, Militaire ou Autres forces Arméées",,,Misc,N/A,,,,,,,,,,,
392054c6-bc44-45cf-9e6e-f9d26466aa10,,,Instituteur,Instituteur,Instituteur et assimilié,Instituteur et assimilié,,,Misc,N/A,,,,,,,,,,,
f0965d22-8e99-4fba-bfd6-0533749aec07,,,Professeur,Professeur,"Professeur, Profession scientifique","Professeur, Profession scientifique",,,Misc,N/A,,,,,,,,,,,
e56cf11c-05a9-4e9d-bf36-b48c4095f706,,,Employé,Employé,Employé ou agent de service du secteur public,Employé ou agent de service du secteur public,,,Misc,N/A,,,,,,,,,,,
b9edebae-ba39-4330-a776-6f09de21774a,,,Cadre_Fonction_Publique,Cadre_Fonction_Publique,Cadre de la fonction publique,Cadre de la fonction publique,,,Misc,N/A,,,,,,,,,,,
670206d4-c6c3-4bb8-adea-d77d142b5c42,,,Medecins,Medecins,Medecins,Medecins,,,Misc,N/A,,,,,,,,,,,
1f5ca613-81fe-47a8-8ec2-c8d55dc733ee,,,Infirmiers,Infirmiers,"Infirmiers, Sage-femme et Autres agents de santé","Infirmiers, Sage-femme et Autres agents de santé",,,Misc,N/A,,,,,,,,,,,
69f959b7-38ca-4a85-8d56-52b62651ba28,,,Clergé,Clergé,"Clergé , religieux","Clergé , religieux",,,Misc,N/A,,,,,,,,,,,
94e3d0ff-9f0b-4ed5-8d5b-d39308945583,,,Technicien,Technicien,"Technicien,Employé, agent de maîtrise du privé","Technicien,Employé, agent de maîtrise du privé",,,Misc,N/A,,,,,,,,,,,
73cf1c61-6475-4022-803f-6c7c1a2850b1,,,Cadre_Secteur_Privé,Cadre_Secteur_Privé,Cadre du secteur privé,Cadre du secteur privé,,,Misc,N/A,,,,,,,,,,,
4205f374-b58a-433c-b4eb-1c1f92675420,,,Chef,Chef,Chef d'entreprise,Chef d'entreprise,,,Misc,N/A,,,,,,,,,,,
e79beb6f-da57-4b29-a277-a49f2e8e85f9,,,Profession_libérale,Profession_libérale,Profession libérale,Profession libérale,,,Misc,N/A,,,,,,,,,,,
d746c5e4-b810-4cfb-96ea-73c70d068977,,,Occupation,Occupation,Occupation,Profession,,,Misc,Coded,,Agriculteur; Artisan; Commerçant; Ouvrier; Chauffeur ; Policier; Instituteur; Professeur; Employé; Cadre_Fonction_Publique; Medecins; Infirmiers; Clergé; Technicien; Cadre_Secteur_Privé; Chef; Profession_libérale,,,,,,,,,
2cbd20e4-f503-41ca-9a94-892148c2f8b2,,,Christian,Christian,Christian,Chrétien,,,Misc,N/A,,,,,,,,,,,
689af12e-ef38-484f-a984-ff28d1e8794b,,,Muslim,Muslim,Muslim,Musulman,,,Misc,N/A,,,,,,,,,,,
d8f792cc-fb68-403c-b966-e430989402b9,,,Other_Religion,Other_Religion,Other,Autre,,,Misc,N/A,,,,,,,,,,,
6a7da305-b5f2-4484-a0ed-ad59f4de8110,,,Religion,Religion,Religion,Religion,,,Misc,Coded,,Christian; Muslim; Other_Religion,,,,,,,,,
3ac37b90-6276-4f69-ab70-33128040fa76,,,Parent,Parent,Parent,Parent,,,Misc,N/A,,,,,,,,,,,
7a475706-0f57-4ed2-ae4a-04a9989fd5df,,,Sibling,Sibling,Sibling,Frère ou soeur,,,Misc,N/A,,,,,,,,,,,
2a76a46f-ca46-4629-bed1-8dc7aaf716a4,,,Friend,Friend,Friend,Amis,,,Misc,N/A,,,,,,,,,,,
7b85039c-6f8f-49f2-abc5-182a1387e051,,,Conjoint,Conjoint,Spouse,Conjoint,,,Misc,N/A,,,,,,,,,,,
6ff7a60f-6895-410e-a5a3-0d1c72ce33da,,,Enfant,Enfant,Child,Enfant,,,Misc,N/A,,,,,,,,,,,
bcd8eba7-73da-463e-a079-9cdad085dc81,,,Tuteur,Tuteur,Tutor,Tuteur,,,Misc,N/A,,,,,,,,,,,
