Uuid,Void/Retire,Name,Concept Dosage Form,odoo_purchase_uom,odoo_uom,Concept Drug,Strength,odoo_price,odoo_cost,odoo_category,odoo_type,odoo_id,_version:1
6746abcb-d7fd-433f-b465-c3c69f9440a1,,A PAR SOL Solution pour usage externe,Solution,52c5bd1b-7679-45cc-ac8e-1eb8dd92ab7a,52c5bd1b-7679-45cc-ac8e-1eb8dd92ab7a,NEOPYNAMINE,,1900,,bahmni_product.categ_saleable_drugs,Stockable Product,6746abcb-d7fd-433f-b465-c3c69f9440a1,
ad76dd34-51e8-4b37-995e-7239d2b2c0cc,,ACARILBIAL Solution pour usage externe,Solution,52c5bd1b-7679-45cc-ac8e-1eb8dd92ab7a,52c5bd1b-7679-45cc-ac8e-1eb8dd92ab7a,BENZOATE DE BENZYLE,,1200,,bahmni_product.categ_saleable_drugs,Stockable Product,ad76dd34-51e8-4b37-995e-7239d2b2c0cc,
4fd4fdcf-58a2-457c-8948-9cba5d48c217,,ACE PLUS Comprime a 500/ 65 mg,Tablet,74ea4fb4-1b15-4530-98b4-eb21865d1a75,74ea4fb4-1b15-4530-98b4-eb21865d1a75,PARACETAMOL/CAFFEINE,,1500,,bahmni_product.categ_saleable_drugs,Stockable Product,4fd4fdcf-58a2-457c-8948-9cba5d48c217,
d80dbab9-8f9a-43a5-9887-46d442a59a6e,,ACE Suppositoire a 250 mg,Suppository,67b6d5df-8f86-42d7-aeb8-a10f253bf374,67b6d5df-8f86-42d7-aeb8-a10f253bf374,PARACETAMOL,,500,,bahmni_product.categ_saleable_drugs,Stockable Product,d80dbab9-8f9a-43a5-9887-46d442a59a6e,
ca3bf482-f4e5-426e-9aef-5420696e50e2,,ACE Sirop a 120 mg/ 5 ml,Syrup,52c5bd1b-7679-45cc-ac8e-1eb8dd92ab7a,52c5bd1b-7679-45cc-ac8e-1eb8dd92ab7a,PARACETAMOL,,200,,bahmni_product.categ_saleable_drugs,Stockable Product,ca3bf482-f4e5-426e-9aef-5420696e50e2,
60f2e840-2276-4632-9fe9-51e59de6da45,,ACE Suppositoire a 60 mg,Suppository,67b6d5df-8f86-42d7-aeb8-a10f253bf374,67b6d5df-8f86-42d7-aeb8-a10f253bf374,PARACETAMOL,,300,,bahmni_product.categ_saleable_drugs,Stockable Product,60f2e840-2276-4632-9fe9-51e59de6da45,
8a9fdc11-aa7a-4535-840a-76a14ca51372,,ACE Comprime a 500 mg,Tablet,74ea4fb4-1b15-4530-98b4-eb21865d1a75,74ea4fb4-1b15-4530-98b4-eb21865d1a75,PARACETAMOL,,500,,bahmni_product.categ_saleable_drugs,Stockable Product,8a9fdc11-aa7a-4535-840a-76a14ca51372,
5a2c2258-2c39-4bb6-ba4f-864f904d14b4,,ACIDE ACETYL SALICYLIQUE Comprime a 100 mg,Tablet,74ea4fb4-1b15-4530-98b4-eb21865d1a75,74ea4fb4-1b15-4530-98b4-eb21865d1a75,ACIDE ACETYL SALICYLIQUE,,100,,bahmni_product.categ_saleable_drugs,Stockable Product,5a2c2258-2c39-4bb6-ba4f-864f904d14b4,
68f46c7a-68f1-4016-a4c7-43a85826dd6f,,ACIDE FOLIQUE Comprime a 5 mg,Tablet,74ea4fb4-1b15-4530-98b4-eb21865d1a75,74ea4fb4-1b15-4530-98b4-eb21865d1a75,ACIDE FOLIQUE,,200,,bahmni_product.categ_saleable_drugs,Stockable Product,68f46c7a-68f1-4016-a4c7-43a85826dd6f,
e8b242e7-2cea-4bd9-8ded-f66f7ec62c38,,ACIVIR Comprime a  200 mg,Tablet,74ea4fb4-1b15-4530-98b4-eb21865d1a75,74ea4fb4-1b15-4530-98b4-eb21865d1a75,ACICLOVIR,,600,,bahmni_product.categ_saleable_drugs,Stockable Product,e8b242e7-2cea-4bd9-8ded-f66f7ec62c38,
c37e19b6-f0d4-4ea3-82a9-ef57cb3e7a31,,ACIVIR Creme a 5 %,Cream,0d0b3654-75ab-4315-9264-2ddbb1e9400c,0d0b3654-75ab-4315-9264-2ddbb1e9400c,ACICLOVIR,,1700,,bahmni_product.categ_saleable_drugs,Stockable Product,c37e19b6-f0d4-4ea3-82a9-ef57cb3e7a31,
58a5960d-7ddd-4a80-b5ff-1db591b879d2,,ACIVIR Solution injectable,Injectable,42709d9b-83d7-4523-90ba-f2e6a52c59e6,42709d9b-83d7-4523-90ba-f2e6a52c59e6,ACICLOVIR,,1700,,bahmni_product.categ_saleable_drugs,Stockable Product,58a5960d-7ddd-4a80-b5ff-1db591b879d2,
19dd0cb7-2439-457d-880f-fba63f0c83d9,,ACTAPULGITE Sachet a 1 g,Powder,4d653cbf-5502-4ee8-a470-4ebc9170fda8,4d653cbf-5502-4ee8-a470-4ebc9170fda8,ATTAPULGITE DE MORMOIRON,,780,,bahmni_product.categ_saleable_drugs,Stockable Product,19dd0cb7-2439-457d-880f-fba63f0c83d9,
5eb78fb5-9f27-48ca-b6f3-87efad7a8853,,ACTAPULGITE Sachet a 3 g,Powder,4d653cbf-5502-4ee8-a470-4ebc9170fda8,4d653cbf-5502-4ee8-a470-4ebc9170fda8,ATTAPULGITE DE MORMOIRON,,1750,,bahmni_product.categ_saleable_drugs,Stockable Product,5eb78fb5-9f27-48ca-b6f3-87efad7a8853,
68768b2e-32e1-4bb7-a5b3-dc3bde5b4511,,ACTI 5 Solution buvable,Solution,52c5bd1b-7679-45cc-ac8e-1eb8dd92ab7a,52c5bd1b-7679-45cc-ac8e-1eb8dd92ab7a,MAGNESIUM/ACIIDE ASCORBIQUE,,1600,,bahmni_product.categ_saleable_drugs,Stockable Product,68768b2e-32e1-4bb7-a5b3-dc3bde5b4511,
e78f2fa3-c238-4d0d-909f-dc157df51bf0,,"ACTIFED Comprime a 500/ 2,5/ 60 mg",Tablet,74ea4fb4-1b15-4530-98b4-eb21865d1a75,74ea4fb4-1b15-4530-98b4-eb21865d1a75,PARACETAMOL/TRIPROLIDINE/PSEUD,,700,,bahmni_product.categ_saleable_drugs,Stockable Product,e78f2fa3-c238-4d0d-909f-dc157df51bf0,
aad961a1-9760-4746-ba47-76af975d9ad5,,ACTIMAG Solution buvable a 2 g/ 5 ml,Oral Solution,52c5bd1b-7679-45cc-ac8e-1eb8dd92ab7a,52c5bd1b-7679-45cc-ac8e-1eb8dd92ab7a,PIDOLATE DE MAGNESIUM,,2000,,bahmni_product.categ_saleable_drugs,Stockable Product,aad961a1-9760-4746-ba47-76af975d9ad5,
eea3a841-a7b5-414c-a126-29ea33773830,,ACTIVAROL Solution buvable,Oral Solution,52c5bd1b-7679-45cc-ac8e-1eb8dd92ab7a,52c5bd1b-7679-45cc-ac8e-1eb8dd92ab7a,GLYCINE/ARGININE,,1900,,bahmni_product.categ_saleable_drugs,Stockable Product,eea3a841-a7b5-414c-a126-29ea33773830,
23706118-0fb2-41b9-911e-2fc8a368ba86,,ACYCLOVIR DENK Creme a  5 %,Cream,0d0b3654-75ab-4315-9264-2ddbb1e9400c,0d0b3654-75ab-4315-9264-2ddbb1e9400c,ACICLOVIR,,1700,,bahmni_product.categ_saleable_drugs,Stockable Product,23706118-0fb2-41b9-911e-2fc8a368ba86,
